ID,Data,Cliente,Produto,Categoria,Quantidade,Preço,Estado
52,2022-04-16,João Souza,Calça Jeans,Roupas,3,107.71,SP
53,2023-05-13,Maria Oliveira,Fone X,Eletrônicos,3,152.99,BA
54,2021-02-13,Mariana Alves,Jaqueta,Roupas,201,281.99,RJ
55,2021-06-26,Ana Silva,Calça Jeans,Roupas,6,109.4,RJ
56,2021-08-10,Mariana Alves,Jaqueta,Roupas,3,279.02,RS
57,2020-02-02,Desconhecido,Laptop A,Eletrônicos,3,3657.03,RJ
58,2021-04-17,Desconhecido,Panela,Casa,3,119.06,RJ
59,2023-02-28,Desconhecido,Camiseta,Roupas,3,38.1,PR
60,2022-12-17,Maria Oliveira,Shampoo,Eletrônicos,3,20.73,PR
61,2024-09-30,Ana Silva,Perfume,Eletrônicos,1,228.62,RS
62,2021-06-19,João Souza,Vassoura,Casa,1,24.69,RS
63,2024-10-17,Ana Silva,Laptop A,Eletrônicos,4,3613.58,BA
64,2020-05-27,Mariana Alves,Panela,Casa,5,140.1,MG
65,2021-06-06,Maria Oliveira,Camiseta,Roupas,2,49.77,MG
66,2022-05-10,Desconhecido,Carregador Y,Eletrônicos,3,40.95,RS
67,2024-07-22,João Souza,Laptop A,Eletrônicos,3,2944.74,MG
68,2020-04-11,Desconhecido,Calça Jeans,Roupas,5,114.93,RS
69,2022-10-13,João Souza,Smartwatch Z,Eletrônicos,5,778.61,
70,2020-07-06,João Souza,Calça Jeans,Roupas,2,118.75,MG
71,2023-06-04,João Souza,Shampoo,Eletrônicos,7,18.25,MG
72,2023-09-06,Ana Silva,Calça Jeans,Roupas,2,117.18,PR
73,2025-09-17,Desconhecido,Cortina,Casa,2,187.09,SP
74,2021-04-17,João Souza,Perfume,Beleza,1,184.79,SP
75,2021-03-20,Maria Oliveira,Calça Jeans,Roupas,2,121.7,PR
76,2025-09-25,Carlos Pereira,Shampoo,Beleza,4,22.07,RJ
77,2020-06-30,Ana Silva,Vassoura,Casa,1,25.86,PR
78,2022-03-18,Carlos Pereira,Carregador Y,Eletrônicos,4,47.65,PR
79,2023-07-09,Desconhecido,Jaqueta,Roupas,4,195.65,RJ
80,2024-07-30,Carlos Pereira,Jaqueta,Roupas,2,291.95,SP
81,2022-02-24,Desconhecido,Vassoura,Casa,6,25.14,RS
82,2021-12-13,Carlos Pereira,Panela,Casa,5,122.88,RJ
83,2023-03-21,Carlos Pereira,Perfume,Beleza,4,222.82,BA
84,2024-12-14,Desconhecido,Jaqueta,Roupas,3,285.56,BA
85,2021-11-26,Maria Oliveira,Vassoura,Casa,2,27.49,PR
86,2023-10-04,João Souza,Perfume,Beleza,3,214.82,RJ
87,2022-03-26,Ana Silva,Shampoo,Eletrônicos,4,17.56,BA
88,2020-10-25,Carlos Pereira,Shampoo,Beleza,2,19.91,RS
89,2024-04-21,Carlos Pereira,Camiseta,Roupas,3,45.82,PR
90,2020-01-23,Carlos Pereira,Camiseta,Roupas,3,41.51,RS
91,2025-03-17,Mariana Alves,Camiseta,Roupas,1,48.9,BA
92,2021-06-30,Desconhecido,Vassoura,Casa,3,26.18,PR
93,2023-07-23,Mariana Alves,Cortina,Casa,2,223.79,
94,2024-12-31,Desconhecido,Cortina,Casa,3,204.47,RJ
95,2022-10-09,Mariana Alves,Vassoura,Casa,5,26.78,RJ
96,2023-01-29,Ana Silva,Camiseta,Roupas,3,43.7,RJ
97,2023-10-07,Mariana Alves,Laptop A,Eletrônicos,2,3765.14,SP
98,2022-05-08,Desconhecido,Laptop A,Eletrônicos,5,3550.82,SP
99,2024-08-26,Maria Oliveira,Cortina,Casa,373,205.6,MG
100,2020-09-12,Carlos Pereira,Vassoura,Casa,3,18.15,RS
101,2020-03-21,Carlos Pereira,Perfume,Eletrônicos,2,242.14,RJ
102,2024-05-16,Mariana Alves,Vassoura,Casa,3,23.56,RJ
103,2025-06-22,Maria Oliveira,Cortina,Casa,2,203.39,SP
104,2024-05-11,Desconhecido,Perfume,Beleza,3,221.97,RS
105,2021-07-11,João Souza,Shampoo,Beleza,2,20.58,MG
106,2020-04-21,Desconhecido,Panela,Casa,3,144.9,
107,2025-03-06,Ana Silva,Calça Jeans,Roupas,2,117.13,MG
108,2022-05-16,Maria Oliveira,Calça Jeans,Roupas,1,129.88,RJ
109,2024-09-22,Ana Silva,Panela,Casa,2,127.59,RS
110,2020-08-01,João Souza,Shampoo,Beleza,2,24.54,RS
111,2020-06-13,João Souza,Camiseta,Roupas,5,50.79,PR
112,2021-09-16,João Souza,Vassoura,Casa,5,23.89,SP
113,2022-11-06,Desconhecido,Calça Jeans,Roupas,3,127.85,SP
114,2021-04-14,Maria Oliveira,Fone X,Eletrônicos,2,149.17,RJ
115,2024-03-17,Desconhecido,Camiseta,Roupas,4,53.47,PR
116,2022-09-21,Desconhecido,Jaqueta,Roupas,263,340.36,PR
117,2021-05-10,Maria Oliveira,Cortina,Casa,2,190.53,PR
118,2024-02-26,Mariana Alves,Perfume,Beleza,3,240.94,SP
119,2024-09-16,Ana Silva,Cortina,Casa,5,203.23,PR
120,2025-02-26,Carlos Pereira,Carregador Y,Eletrônicos,2,43.1,PR
121,2025-03-06,Carlos Pereira,Perfume,Beleza,2,221.72,MG
122,2022-10-02,Maria Oliveira,Panela,Casa,3,102.18,RS
123,2025-03-18,Maria Oliveira,Perfume,Eletrônicos,3,269.64,
124,2023-08-24,Carlos Pereira,Calça Jeans,Roupas,3,113.12,RS
125,2022-11-24,Maria Oliveira,Perfume,Beleza,2,207.51,BA
126,2020-02-11,Ana Silva,Jaqueta,Roupas,3,293.35,MG
127,2025-06-24,Desconhecido,Vassoura,Casa,337,27.34,RS
128,2025-03-07,Ana Silva,Carregador Y,Eletrônicos,2,45.09,RJ
129,2024-07-14,Maria Oliveira,Perfume,Beleza,3,237.91,BA
130,2023-09-11,Desconhecido,Cortina,Casa,3,181.19,MG
131,2025-02-01,Maria Oliveira,Camiseta,Roupas,2,46.47,SP
132,2022-02-27,Ana Silva,Vassoura,Casa,2,21.87,SP
133,2022-02-23,Desconhecido,Cortina,Casa,4,204.22,RS
134,2023-03-05,João Souza,Camiseta,Roupas,3,44.56,MG
135,2022-01-04,Ana Silva,Panela,Casa,2,123.69,RJ
136,2020-07-05,Mariana Alves,Jaqueta,Roupas,4,248.69,SP
137,2025-07-03,Ana Silva,Perfume,Beleza,3,184.15,BA
138,2025-05-14,Maria Oliveira,Fone X,Eletrônicos,2,158.28,RJ
139,2025-05-10,Ana Silva,Cortina,Casa,3,232.41,SP
140,2020-08-07,João Souza,Perfume,Beleza,3,254.55,SP
141,2022-10-13,Mariana Alves,Vassoura,Casa,2,21.41,PR
142,2022-07-13,Carlos Pereira,Cortina,Casa,3,211.62,
143,2024-10-22,Mariana Alves,Shampoo,Beleza,118,17.15,PR
144,2021-02-10,Desconhecido,Calça Jeans,Roupas,3,118.51,PR
145,2020-11-28,João Souza,Fone X,Eletrônicos,3,135.83,SP
146,2020-11-01,Carlos Pereira,Perfume,Beleza,2,270.66,RJ
147,2020-05-13,Maria Oliveira,Jaqueta,Roupas,5,338.54,
148,2025-02-02,Desconhecido,Calça Jeans,Roupas,138,128.27,RS
149,2022-03-21,Ana Silva,Panela,Casa,2,104.99,PR
150,2021-09-02,João Souza,Fone X,Eletrônicos,2,189.09,SP
151,2023-06-13,Carlos Pereira,Smartwatch Z,Eletrônicos,1,908.53,RS
152,2023-05-30,Maria Oliveira,Vassoura,Casa,4,18.22,BA
153,2024-11-28,Mariana Alves,Perfume,Eletrônicos,5,242.22,RS
154,2023-08-13,Ana Silva,Laptop A,Eletrônicos,300,3431.31,PR
155,2020-03-25,Mariana Alves,Shampoo,Eletrônicos,276,19.95,BA
156,2024-12-16,João Souza,Perfume,Beleza,1,207.79,PR
157,2025-07-07,Carlos Pereira,Calça Jeans,Roupas,1,97.66,MG
158,2023-08-08,João Souza,Calça Jeans,Roupas,3,116.4,RS
159,2025-07-22,Desconhecido,Vassoura,Casa,4,27.08,SP
160,2025-02-05,Maria Oliveira,Calça Jeans,Roupas,3,122.49,SP
161,2024-07-13,Desconhecido,Cortina,Casa,2,210.31,MG
162,2020-08-10,Mariana Alves,Jaqueta,Roupas,3,335.83,RS
163,2025-03-08,Ana Silva,Calça Jeans,Roupas,3,146.83,BA
164,2021-06-20,Carlos Pereira,Panela,Casa,3,112.01,SP
165,2022-09-07,Maria Oliveira,Panela,Casa,2,119.17,BA
166,2024-07-29,João Souza,Smartwatch Z,Eletrônicos,2,784.99,SP
167,2021-09-22,Desconhecido,Jaqueta,Roupas,2,327.22,RS
168,2023-01-24,Carlos Pereira,Panela,Casa,5,120.43,BA
169,2021-08-15,João Souza,Shampoo,Beleza,3,18.14,
170,2020-10-12,Carlos Pereira,Jaqueta,Roupas,2,317.83,RJ
171,2020-01-11,Desconhecido,Jaqueta,Roupas,3,347.02,PR
172,2025-06-28,Carlos Pereira,Cortina,Casa,3,200.32,MG
173,2023-09-23,Carlos Pereira,Camiseta,Roupas,1,50.34,RS
174,2022-05-09,João Souza,Panela,Casa,3,117.16,MG
175,2025-04-21,Carlos Pereira,Shampoo,Beleza,3,24.04,BA
176,2020-05-31,Mariana Alves,Perfume,Beleza,4,3765.14,
177,2021-02-15,Ana Silva,Cortina,Casa,148,175.4,SP
178,2021-08-13,Desconhecido,Fone X,Eletrônicos,1,147.33,BA
179,2022-12-21,Mariana Alves,Vassoura,Casa,3,24.71,SP
180,2023-07-09,Maria Oliveira,Perfume,Beleza,4,233.93,
181,2020-05-27,João Souza,Perfume,Beleza,5,227.54,RJ
182,2021-05-01,Ana Silva,Shampoo,Beleza,2,20.91,BA
183,2021-11-12,Ana Silva,Perfume,Eletrônicos,3,228.25,RS
184,2020-08-17,Maria Oliveira,Calça Jeans,Roupas,1,110.91,SP
185,2022-09-27,Mariana Alves,Shampoo,Beleza,3,19.65,SP
186,2021-12-18,Mariana Alves,Vassoura,Casa,4,23.28,PR
187,2022-09-13,Mariana Alves,Laptop A,Eletrônicos,3,3489.54,BA
188,2022-06-11,Maria Oliveira,Shampoo,Beleza,2,21.75,RS
189,2025-03-20,Desconhecido,Panela,Casa,2,141.57,SP
190,2024-12-14,Mariana Alves,Jaqueta,Roupas,1,319.23,MG
191,2022-10-21,Maria Oliveira,Calça Jeans,Roupas,2,141.74,
192,2025-06-02,João Souza,Vassoura,Casa,3,25.89,MG
193,2023-04-26,Ana Silva,Perfume,Beleza,4,205.67,RJ
194,2020-02-03,Mariana Alves,Cortina,Casa,405,190.32,RS
195,2022-07-31,João Souza,Shampoo,Beleza,1,17.38,PR
196,2022-10-23,Desconhecido,Fone X,Eletrônicos,2,167.98,RJ
197,2024-12-10,Mariana Alves,Jaqueta,Roupas,3,311.51,SP
198,2021-01-04,Maria Oliveira,Panela,Casa,4,132.38,RJ
199,2021-06-25,Mariana Alves,Cortina,Casa,5,186.55,
200,2021-11-04,Carlos Pereira,Jaqueta,Roupas,4,231.46,
201,2023-10-19,Carlos Pereira,Laptop A,Eletrônicos,2,3765.14,RS
202,2022-07-13,Mariana Alves,Camiseta,Roupas,3,45.23,RS
203,2024-06-04,Maria Oliveira,Panela,Casa,3,125.2,BA
204,2024-02-18,Mariana Alves,Vassoura,Casa,2,24.25,MG
205,2021-03-19,Carlos Pereira,Perfume,Eletrônicos,362,212.33,PR
206,2022-06-25,Desconhecido,Vassoura,Casa,6,24.13,RJ
207,2024-07-30,João Souza,Shampoo,Eletrônicos,3,19.74,RJ
208,2025-07-10,Ana Silva,Jaqueta,Roupas,1,268.95,SP
209,2024-10-05,Maria Oliveira,Perfume,Beleza,348,221.49,PR
210,2021-09-24,Desconhecido,Smartwatch Z,Eletrônicos,2,832.01,PR
211,2024-07-29,Ana Silva,Camiseta,Roupas,429,46.24,BA
212,2024-12-26,Maria Oliveira,Carregador Y,Eletrônicos,6,37.4,BA
213,2024-01-09,Carlos Pereira,Camiseta,Roupas,4,40.1,SP
214,2025-02-05,Desconhecido,Jaqueta,Roupas,2,348.93,PR
215,2020-03-28,Maria Oliveira,Camiseta,Roupas,3,46.53,RS
216,2022-04-20,Mariana Alves,Jaqueta,Roupas,4,343.06,RJ
217,2022-08-12,João Souza,Shampoo,Beleza,1,19.65,RJ
218,2021-08-15,Mariana Alves,Camiseta,Roupas,3,45.07,SP
219,2020-04-15,Ana Silva,Camiseta,Roupas,1,52.39,PR
220,2023-08-19,João Souza,Camiseta,Roupas,4,49.54,SP
221,2024-09-20,Desconhecido,Smartwatch Z,Eletrônicos,5,779.79,BA
222,2024-01-22,Carlos Pereira,Panela,Casa,324,124.71,PR
223,2020-06-26,Carlos Pereira,Shampoo,Beleza,2,20.36,SP
224,2025-05-15,Carlos Pereira,Shampoo,Beleza,2,22.78,BA
225,2024-12-21,Ana Silva,Jaqueta,Roupas,2,281.96,SP
226,2020-09-26,Maria Oliveira,Perfume,Beleza,423,227.04,MG
227,2023-04-22,Mariana Alves,Perfume,Beleza,6,230.99,SP
228,2021-04-13,Carlos Pereira,Panela,Casa,3,104.44,MG
229,2023-10-20,Carlos Pereira,Vassoura,Casa,4,22.91,SP
230,2023-04-07,Maria Oliveira,Perfume,Beleza,3,267.19,MG
231,2021-09-17,Ana Silva,Fone X,Eletrônicos,2,171.89,SP
232,2024-11-03,Desconhecido,Camiseta,Roupas,3,37.42,BA
233,2020-09-02,Desconhecido,Smartwatch Z,Eletrônicos,237,831.2,MG
234,2024-09-28,Maria Oliveira,Perfume,Beleza,3,246.49,MG
235,2021-02-28,João Souza,Perfume,Beleza,5,190.4,RJ
236,2021-03-19,Mariana Alves,Camiseta,Roupas,2,48.71,RS
237,2023-02-15,Carlos Pereira,Vassoura,Casa,4,28.28,PR
238,2020-04-17,Ana Silva,Carregador Y,Eletrônicos,2,42.78,RS
239,2023-06-19,Maria Oliveira,Shampoo,Eletrônicos,2,21.73,
240,2021-09-08,Ana Silva,Fone X,Eletrônicos,4,161.46,SP
241,2022-05-31,Carlos Pereira,Cortina,Casa,1,186.36,SP
242,2024-02-24,Desconhecido,Jaqueta,Roupas,3,264.77,PR
243,2020-12-13,João Souza,Fone X,Eletrônicos,4,112.27,PR
244,2020-11-30,Carlos Pereira,Perfume,Beleza,3,220.62,BA
245,2024-12-15,Maria Oliveira,Jaqueta,Roupas,1,286.98,SP
246,2023-11-14,Ana Silva,Jaqueta,Roupas,437,283.69,PR
247,2025-06-16,Ana Silva,Calça Jeans,Roupas,3,112.2,PR
248,2020-08-12,João Souza,Camiseta,Roupas,2,47.38,RS
249,2021-07-16,Maria Oliveira,Camiseta,Roupas,437,43.15,SP
250,2025-07-30,João Souza,Smartwatch Z,Eletrônicos,3,824.14,BA
251,2022-07-31,Ana Silva,Vassoura,Casa,1,20.86,SP
252,2024-11-21,Carlos Pereira,Carregador Y,Eletrônicos,2,45.03,PR
253,2024-10-24,Desconhecido,Perfume,Beleza,2,203.07,RJ
254,2021-04-16,Ana Silva,Camiseta,Roupas,2,42.48,RS
255,2025-02-27,Ana Silva,Panela,Casa,5,124.56,RJ
256,2024-11-19,Mariana Alves,Smartwatch Z,Eletrônicos,3,626.09,
257,2023-06-24,João Souza,Camiseta,Roupas,2,38.1,SP
258,2025-09-21,Mariana Alves,Panela,Casa,1,132.4,RS
259,2023-12-02,Desconhecido,Shampoo,Beleza,3,19.22,RJ
260,2021-02-25,Maria Oliveira,Camiseta,Roupas,4,47.49,PR
261,2021-09-18,João Souza,Perfume,Beleza,179,184.82,BA
262,2025-01-12,Desconhecido,Camiseta,Roupas,3,43.17,BA
263,2020-06-10,Carlos Pereira,Perfume,Beleza,2,193.79,RS
264,2023-01-30,Maria Oliveira,Panela,Casa,1,120.75,RJ
265,2025-06-03,Ana Silva,Perfume,Eletrônicos,1,202.35,
266,2023-03-21,Desconhecido,Smartwatch Z,Eletrônicos,2,903.9,BA
267,2020-06-17,Mariana Alves,Shampoo,Beleza,3,21.99,MG
268,2025-05-02,Ana Silva,Panela,Casa,1,110.92,RS
269,2023-11-07,Mariana Alves,Shampoo,Beleza,2,22.91,SP
270,2022-11-10,Carlos Pereira,Vassoura,Casa,1,29.5,PR
271,2021-10-12,Maria Oliveira,Calça Jeans,Roupas,3,126.95,MG
272,2023-10-17,Desconhecido,Perfume,Beleza,4,223.25,SP
273,2023-09-12,Mariana Alves,Perfume,Beleza,3,214.53,RJ
274,2022-10-29,Maria Oliveira,Laptop A,Eletrônicos,2,3765.14,MG
275,2023-06-24,João Souza,Shampoo,Beleza,334,18.92,RJ
276,2024-03-22,João Souza,Shampoo,Beleza,437,20.63,PR
277,2024-09-30,Ana Silva,Calça Jeans,Roupas,3,141.74,SP
278,2022-05-27,Carlos Pereira,Camiseta,Roupas,2,47.81,SP
279,2021-09-26,Maria Oliveira,Fone X,Eletrônicos,2,169.32,PR
280,2023-10-11,Mariana Alves,Panela,Casa,2,114.93,SP
281,2022-01-10,Desconhecido,Panela,Casa,1,110.58,MG
282,2024-02-01,Carlos Pereira,Perfume,Beleza,2,234.26,RS
283,2025-01-12,Mariana Alves,Calça Jeans,Roupas,5,3765.14,RS
284,2025-04-05,Maria Oliveira,Perfume,Beleza,4,203.48,BA
285,2023-02-28,Mariana Alves,Cortina,Casa,2,250.25,SP
286,2022-03-28,Maria Oliveira,Perfume,Eletrônicos,2,212.55,
287,2024-02-29,Desconhecido,Panela,Casa,166,121.06,RJ
288,2020-12-09,Maria Oliveira,Vassoura,Casa,2,28.69,SP
289,2024-11-26,João Souza,Cortina,Casa,6,195.47,SP
290,2024-08-26,Carlos Pereira,Cortina,Casa,2,180.81,RJ
291,2024-04-30,Maria Oliveira,Camiseta,Roupas,1,42.63,MG
292,2021-02-09,João Souza,Fone X,Eletrônicos,437,161.57,RJ
293,2025-04-19,Desconhecido,Cortina,Casa,3,203.13,PR
294,2020-01-22,Ana Silva,Camiseta,Roupas,3,46.49,
295,2021-04-09,Ana Silva,Camiseta,Roupas,4,48.99,RJ
296,2021-05-14,João Souza,Vassoura,Casa,3,23.27,RS
297,2025-02-15,Ana Silva,Vassoura,Casa,3,24.58,BA
298,2020-03-08,Desconhecido,Carregador Y,Eletrônicos,1,40.44,MG
299,2020-01-07,João Souza,Perfume,Beleza,5,201.57,SP
300,2020-12-16,Ana Silva,Vassoura,Casa,437,26.53,BA
301,2025-09-10,Carlos Pereira,Panela,Casa,2,122.41,PR
302,2024-05-03,Maria Oliveira,Perfume,Eletrônicos,3,245.27,RS
303,2020-10-03,João Souza,Shampoo,Beleza,2,17.86,RS
304,2023-09-23,Ana Silva,Jaqueta,Roupas,3,212.36,MG
305,2021-12-18,Desconhecido,Vassoura,Casa,4,23.43,SP
306,2021-07-06,Desconhecido,Panela,Casa,3,127.23,RJ
307,2022-04-05,João Souza,Perfume,Eletrônicos,3,213.58,RJ
308,2024-06-19,Maria Oliveira,Shampoo,Eletrônicos,1,17.15,RJ
309,2024-01-02,Desconhecido,Calça Jeans,Roupas,2,132.46,SP
310,2024-02-16,Carlos Pereira,Cortina,Casa,317,210.11,MG
311,2022-04-02,Desconhecido,Cortina,Casa,4,201.36,RS
312,2022-12-28,Desconhecido,Panela,Casa,4,130.23,MG
313,2022-01-09,Maria Oliveira,Fone X,Eletrônicos,3,147.01,MG
314,2023-04-25,Carlos Pereira,Perfume,Beleza,3,194.41,SP
315,2024-12-23,Carlos Pereira,Perfume,Eletrônicos,112,196.73,PR
316,2024-11-16,Desconhecido,Shampoo,Eletrônicos,272,19.92,PR
317,2024-07-21,Mariana Alves,Shampoo,Beleza,1,18.95,SP
318,2021-07-08,Ana Silva,Fone X,Eletrônicos,2,131.14,RJ
319,2024-02-09,Carlos Pereira,Shampoo,Beleza,3,21.47,PR
320,2021-09-20,Maria Oliveira,Calça Jeans,Roupas,1,113.2,RS
321,2020-11-10,Mariana Alves,Calça Jeans,Roupas,3,106.29,MG
322,2023-02-15,Ana Silva,Shampoo,Eletrônicos,3,24.03,BA
323,2024-05-04,Maria Oliveira,Jaqueta,Roupas,1,272.31,BA
324,2022-05-28,Desconhecido,Panela,Casa,1,126.05,SP
325,2021-07-09,Carlos Pereira,Smartwatch Z,Eletrônicos,2,759.75,SP
326,2023-08-02,Desconhecido,Carregador Y,Eletrônicos,2,45.78,RJ
327,2021-10-07,Maria Oliveira,Panela,Casa,3,101.27,SP
328,2022-04-03,João Souza,Panela,Casa,4,102.86,MG
329,2024-02-20,Mariana Alves,Fone X,Eletrônicos,199,143.47,SP
330,2023-06-20,Desconhecido,Vassoura,Casa,1,26.88,MG
331,2024-08-04,João Souza,Jaqueta,Roupas,4,311.02,SP
332,2025-01-17,Desconhecido,Cortina,Casa,3,236.76,SP
333,2022-01-15,Carlos Pereira,Panela,Casa,1,131.4,
334,2021-05-23,Maria Oliveira,Laptop A,Eletrônicos,3,3765.14,MG
335,2022-07-12,Mariana Alves,Camiseta,Roupas,3,41.7,RJ
336,2022-03-15,João Souza,Perfume,Beleza,1,220.79,PR
337,2021-01-17,Mariana Alves,Shampoo,Beleza,4,18.69,SP
338,2023-10-14,Ana Silva,Fone X,Eletrônicos,3,122.54,PR
339,2022-12-20,Mariana Alves,Vassoura,Casa,3,22.59,PR
340,2020-04-05,Desconhecido,Cortina,Casa,6,200.6,PR
341,2023-05-22,João Souza,Perfume,Beleza,1,210.56,RJ
342,2025-01-31,Desconhecido,Shampoo,Eletrônicos,2,18.62,BA
343,2024-08-29,Carlos Pereira,Calça Jeans,Roupas,1,133.01,PR
344,2021-08-11,Desconhecido,Jaqueta,Roupas,3,282.67,
345,2023-11-15,João Souza,Jaqueta,Roupas,6,278.75,BA
346,2021-03-10,João Souza,Panela,Casa,3,101.84,RJ
347,2025-01-15,João Souza,Fone X,Eletrônicos,1,142.75,RJ
348,2024-04-22,João Souza,Carregador Y,Eletrônicos,2,40.59,PR
349,2023-07-04,João Souza,Vassoura,Casa,1,28.8,BA
350,2025-08-04,Carlos Pereira,Shampoo,Eletrônicos,5,19.02,MG
351,2025-01-09,João Souza,Jaqueta,Roupas,3,265.69,MG
352,2020-07-18,Maria Oliveira,Vassoura,Casa,3,25.27,
353,2025-04-11,Mariana Alves,Shampoo,Eletrônicos,5,17.61,MG
354,2021-07-02,Desconhecido,Calça Jeans,Roupas,6,131.03,MG
355,2020-04-07,Ana Silva,Shampoo,Beleza,4,17.79,MG
356,2023-03-28,Carlos Pereira,Cortina,Casa,1,195.7,RS
357,2023-02-19,João Souza,Smartwatch Z,Eletrônicos,1,665.32,MG
358,2023-10-20,João Souza,Jaqueta,Roupas,3,275.82,BA
359,2024-07-02,Ana Silva,Shampoo,Eletrônicos,1,21.09,RS
360,2023-09-26,Mariana Alves,Panela,Casa,2,120.08,PR
361,2021-07-26,Mariana Alves,Camiseta,Roupas,3,44.58,MG
362,2023-05-10,Mariana Alves,Vassoura,Casa,4,25.57,BA
363,2023-12-05,Ana Silva,Calça Jeans,Roupas,2,138.87,PR
364,2021-03-24,Mariana Alves,Jaqueta,Roupas,2,307.51,
365,2020-04-19,Maria Oliveira,Shampoo,Beleza,4,19.66,RS
366,2020-07-29,João Souza,Vassoura,Casa,6,22.23,RS
367,2024-04-06,Desconhecido,Camiseta,Roupas,2,46.2,PR
368,2021-03-26,Ana Silva,Cortina,Casa,1,235.38,MG
369,2021-12-09,Desconhecido,Calça Jeans,Roupas,3,124.53,BA
370,2025-04-15,Desconhecido,Laptop A,Eletrônicos,2,3489.76,BA
371,2023-08-24,Mariana Alves,Cortina,Casa,4,198.9,SP
372,2025-02-25,Mariana Alves,Jaqueta,Roupas,3,308.57,RS
373,2022-12-18,João Souza,Calça Jeans,Roupas,2,118.38,BA
374,2023-05-07,Maria Oliveira,Jaqueta,Roupas,3,330.11,RJ
375,2025-06-25,Carlos Pereira,Jaqueta,Roupas,2,270.85,RS
376,2023-01-25,Ana Silva,Perfume,Beleza,2,189.65,MG
