Data Abertura,Data Fechamento,Tempo Resposta (s),ID Usuario,ID Suporte,ID Problema,Status,Chave_ID_Problema,Chave_ID_Suporte,Chave_ID_Usuario,Dias_Resolucao,Problema,Nome Suporte,Sexo,Data de Nascimento,Nome Usuario,Sexo_Usuario,Data de Nascimento_Usuario,Data de inscrição
2017-01-02,2017-01-03,00:04:44,388,158,12,Encerrado,12,158,388,1,Emitir certificado,Suporte sem cadastro (ID 158),,,Raíza Barbosa,F,1992-02-15 00:00:00,2019-12-10 00:00:00
2017-01-02,2017-01-03,00:10:56,407,181,15,Aguardando resposta do usuário,15,181,407,1,Página indisponível,Suporte sem cadastro (ID 181),,,Rodrigo e Silva Lemos,M,1998-01-23 00:00:00,2017-09-17 00:00:00
2017-01-02,2017-01-02,00:04:58,339,175,15,Encerrado,15,175,339,0,Página indisponível,Suporte sem cadastro (ID 175),,,Nathália Fernandes de Araújo,F,1993-09-30 00:00:00,2017-07-20 00:00:00
2017-01-02,2017-01-06,00:01:26,225,18,17,Encerrado,17,18,225,4,Falha no Excel,Flávio Barbosa,M,1994-07-23 00:00:00,Julia Valim,F,1992-04-03 00:00:00,2019-08-21 00:00:00
2017-01-02,2017-01-06,00:07:49,380,74,12,Encerrado,12,74,380,4,Emitir certificado,Suporte sem cadastro (ID 74),,,Rafael Lobo,M,1995-12-05 00:00:00,2017-08-02 00:00:00
2017-01-02,2017-01-03,00:03:08,357,54,1,Encerrado,1,54,357,1,Conexão lenta,Suporte sem cadastro (ID 54),,,Paulo Rodrigues Pereira,M,1991-11-27 00:00:00,2018-01-05 00:00:00
2017-01-03,2017-01-10,00:08:13,243,25,8,Aguardando resposta do usuário,8,25,243,7,Renovação de contrato,Jeferson Ramos,M,1983-06-04 00:00:00,Lígia Fernandes Filardi,F,1988-11-01 00:00:00,2019-04-03 00:00:00
2017-01-03,2017-01-05,00:03:26,298,76,21,Cancelado,21,76,298,2,Imagem,Suporte sem cadastro (ID 76),,,Mariana Bach,F,1994-10-15 00:00:00,2019-01-10 00:00:00
2017-01-03,2017-01-13,00:07:38,387,49,9,Encerrado,9,49,387,10,Tempo de resposta,Suporte sem cadastro (ID 49),,,Raissa Carelli,F,1989-10-05 00:00:00,2018-09-29 00:00:00
2017-01-03,2017-01-04,00:02:45,166,103,13,Encerrado,13,103,166,1,Sugestões/Outros,Suporte sem cadastro (ID 103),,,Guilherme Johnson,M,1982-03-19 00:00:00,2019-04-28 00:00:00
2017-01-03,2017-01-04,00:06:02,284,12,13,Encerrado,13,12,284,1,Sugestões/Outros,Bruna Serva,F,1993-02-25 00:00:00,Manuela Abreu Braga Martins,F,1992-03-21 00:00:00,2018-09-28 00:00:00
2017-01-04,2017-01-04,00:03:22,221,45,20,Encerrado,20,45,221,0,Áudio,Suporte sem cadastro (ID 45),,,Julia Freitas,F,1995-02-24 00:00:00,2019-01-25 00:00:00
2017-01-04,2017-01-04,00:01:44,398,271,10,Encerrado,10,271,398,0,Alterar perfil de usuário,Suporte sem cadastro (ID 271),,,Renan Taylor,M,1992-03-27 00:00:00,2018-06-21 00:00:00
2017-01-04,2017-01-11,00:06:15,165,46,6,Encerrado,6,46,165,7,Recursos não disponíveis,Suporte sem cadastro (ID 46),,,Guilherme Delgado,M,1985-11-17 00:00:00,2017-07-15 00:00:00
2017-01-04,2017-01-04,00:07:32,43,78,6,Encerrado,6,78,43,0,Recursos não disponíveis,Suporte sem cadastro (ID 78),,,Bernard Mello,M,1998-04-01 00:00:00,2019-01-08 00:00:00
2017-01-04,2017-01-04,00:05:07,158,54,11,Encerrado,11,54,158,0,Dúvidas/Outros,Suporte sem cadastro (ID 54),,,Gabriela Romeu,F,1984-05-30 00:00:00,2018-02-15 00:00:00
2017-01-04,2017-01-04,00:11:17,411,34,12,Aguardando resposta do usuário,12,34,411,0,Emitir certificado,Matheus Rubio,M,1990-12-26 00:00:00,Rômulo Pedrazza,M,1981-11-11 00:00:00,2019-06-28 00:00:00
2017-01-04,2017-01-04,00:10:28,319,64,12,Cancelado,12,64,319,0,Emitir certificado,Suporte sem cadastro (ID 64),,,Matheus de Souza Fróes,M,1988-11-24 00:00:00,2019-04-16 00:00:00
2017-01-04,2017-01-05,00:01:54,82,119,21,Encerrado,21,119,82,1,Imagem,Suporte sem cadastro (ID 119),,,Carolina da Silva,F,1989-12-11 00:00:00,2018-12-22 00:00:00
2017-01-04,2017-01-04,00:08:09,340,391,6,Encerrado,6,391,340,0,Recursos não disponíveis,Suporte sem cadastro (ID 391),,,Nathalia Melo Eiras,F,1992-02-03 00:00:00,2017-01-30 00:00:00
2017-01-04,2017-01-05,00:07:50,413,166,10,Encerrado,10,166,413,1,Alterar perfil de usuário,Suporte sem cadastro (ID 166),,,Sarah de Carvalho Gomes,F,1981-11-27 00:00:00,2017-10-24 00:00:00
2017-01-05,2017-01-10,00:05:05,132,90,6,Encerrado,6,90,132,5,Recursos não disponíveis,Suporte sem cadastro (ID 90),,,Fernanda Castro Morett Ceppas,F,1996-10-28 00:00:00,2018-05-23 00:00:00
2017-01-05,2017-01-06,00:02:32,252,140,10,Cancelado,10,140,252,1,Alterar perfil de usuário,Suporte sem cadastro (ID 140),,,Lucas Alvarenga dos Santos,M,2000-12-25 00:00:00,2019-11-14 00:00:00
2017-01-05,2017-01-06,00:03:36,150,340,12,Encerrado,12,340,150,1,Emitir certificado,Suporte sem cadastro (ID 340),,,Gabriel Pereira,M,1989-10-02 00:00:00,2017-08-23 00:00:00
2017-01-05,2017-01-05,00:05:37,96,53,2,Encerrado,2,53,96,0,Problema com login,Suporte sem cadastro (ID 53),,,Clarissa Ferreira,F,1983-08-11 00:00:00,2019-01-22 00:00:00
2017-01-05,2017-01-06,00:12:42,83,260,11,Encerrado,11,260,83,1,Dúvidas/Outros,Suporte sem cadastro (ID 260),,,Carolina de Souza Almeida,F,2000-08-05 00:00:00,2017-07-11 00:00:00
2017-01-05,2017-01-06,00:01:53,2,101,6,Aguardando resposta do usuário,6,101,2,1,Recursos não disponíveis,Suporte sem cadastro (ID 101),,,Adelino Werneck,M,1996-03-24 00:00:00,2017-07-16 00:00:00
2017-01-05,2017-01-05,00:03:11,273,263,9,Encerrado,9,263,273,0,Tempo de resposta,Suporte sem cadastro (ID 263),,,Luiz Guarçoni Migueis,M,1981-04-03 00:00:00,2018-12-03 00:00:00
2017-01-05,2017-01-07,00:08:13,55,21,20,Encerrado,20,21,55,2,Áudio,Higor Frossard,M,1990-10-10 00:00:00,Bruna Calmon,F,1991-08-17 00:00:00,2018-11-21 00:00:00
2017-01-05,2017-01-07,00:02:05,314,140,13,Encerrado,13,140,314,2,Sugestões/Outros,Suporte sem cadastro (ID 140),,,Maryanna Ferraz,F,1997-06-17 00:00:00,2018-01-17 00:00:00
2017-01-05,2017-01-05,00:15:10,29,73,9,Cancelado,9,73,29,0,Tempo de resposta,Suporte sem cadastro (ID 73),,,Ângelo Gois,M,1992-06-27 00:00:00,2019-06-25 00:00:00
2017-01-05,2017-01-10,00:05:07,4,167,1,Encerrado,1,167,4,5,Conexão lenta,Suporte sem cadastro (ID 167),,,Adrielle Sá Rodrigues,F,1981-09-08 00:00:00,2017-08-19 00:00:00
2017-01-05,2017-01-05,00:06:00,62,56,12,Encerrado,12,56,62,0,Emitir certificado,Suporte sem cadastro (ID 56),,,Bruno Cunha Felippe,M,1983-12-22 00:00:00,2017-12-18 00:00:00
2017-01-05,2017-01-08,00:11:57,271,136,19,Encerrado,19,136,271,3,Falha no Powerpoint,Suporte sem cadastro (ID 136),,,Luiz de Mattos,M,1995-07-12 00:00:00,2019-09-21 00:00:00
2017-01-05,2017-01-07,00:07:19,375,335,8,Encerrado,8,335,375,2,Renovação de contrato,Suporte sem cadastro (ID 335),,,Priscila de Oliveira,F,1991-02-16 00:00:00,2019-07-29 00:00:00
2017-01-05,2017-01-05,00:02:37,379,130,1,Encerrado,1,130,379,0,Conexão lenta,Suporte sem cadastro (ID 130),,,Rafael de Souza,M,1983-04-13 00:00:00,2017-02-15 00:00:00
2017-01-06,2017-01-07,00:02:42,355,134,20,Encerrado,20,134,355,1,Áudio,Suporte sem cadastro (ID 134),,,Paula Pessanha,F,1989-04-01 00:00:00,2019-12-12 00:00:00
2017-01-06,2017-01-09,00:06:42,392,71,11,Encerrado,11,71,392,3,Dúvidas/Outros,Suporte sem cadastro (ID 71),,,Ramon Vaz,M,1983-06-18 00:00:00,2018-03-09 00:00:00
2017-01-06,2017-01-12,00:04:22,389,21,7,Encerrado,7,21,389,6,Excluir usuário,Higor Frossard,M,1990-10-10 00:00:00,Raíza Barcellos,F,1998-01-31 00:00:00,2019-10-14 00:00:00
2017-01-06,2017-01-07,00:04:00,86,64,17,Encerrado,17,64,86,1,Falha no Excel,Suporte sem cadastro (ID 64),,,Carolina Gonçalves Lixa Fontoura,F,1984-01-31 00:00:00,2017-03-26 00:00:00
2017-01-06,2017-01-07,00:03:24,255,187,9,Encerrado,9,187,255,1,Tempo de resposta,Suporte sem cadastro (ID 187),,,Lucas Brum Pereira,M,1996-03-20 00:00:00,2019-10-05 00:00:00
2017-01-06,2017-01-07,00:05:36,118,103,18,Encerrado,18,103,118,1,Falha no Word,Suporte sem cadastro (ID 103),,,Eduardo da Cunha,M,1986-05-16 00:00:00,2017-06-16 00:00:00
2017-01-06,2017-01-06,00:05:39,420,48,15,Encerrado,15,48,420,0,Página indisponível,Suporte sem cadastro (ID 48),,,Thaís Restum,F,1985-09-18 00:00:00,2019-12-01 00:00:00
2017-01-06,2017-01-14,00:05:07,41,19,16,Encerrado,16,19,41,8,Reembolso,Gabriel Viana,M,1982-07-01 00:00:00,Beatriz Machado Araujo,F,1989-09-27 00:00:00,2018-07-23 00:00:00
2017-01-06,2017-01-08,00:06:48,96,155,21,Encerrado,21,155,96,2,Imagem,Suporte sem cadastro (ID 155),,,Clarissa Ferreira,F,1983-08-11 00:00:00,2019-01-22 00:00:00
2017-01-06,2017-01-06,00:05:50,203,64,12,Encerrado,12,64,203,0,Emitir certificado,Suporte sem cadastro (ID 64),,,João Negrelli,M,1986-06-22 00:00:00,2019-02-02 00:00:00
2017-01-07,2017-01-07,00:08:26,372,108,5,Encerrado,5,108,372,0,Problema com pagamento,Suporte sem cadastro (ID 108),,,Pedro Vilas Bôas,M,1980-12-23 00:00:00,2017-08-01 00:00:00
2017-01-07,2017-01-07,00:01:26,26,244,12,Encerrado,12,244,26,0,Emitir certificado,Suporte sem cadastro (ID 244),,,André Melo Soledade,M,1997-12-23 00:00:00,2018-02-10 00:00:00
2017-01-07,2017-01-09,00:07:30,357,196,10,Encerrado,10,196,357,2,Alterar perfil de usuário,Suporte sem cadastro (ID 196),,,Paulo Rodrigues Pereira,M,1991-11-27 00:00:00,2018-01-05 00:00:00
2017-01-07,2017-01-09,00:10:35,326,28,6,Encerrado,6,28,326,2,Recursos não disponíveis,Jéssica Neves Heimlich,F,1999-11-16 00:00:00,Mauricio Jardim,M,1994-04-25 00:00:00,2019-12-17 00:00:00
2017-01-07,2017-01-08,00:13:00,314,24,13,Encerrado,13,24,314,1,Sugestões/Outros,Jeferson Pinheiro Mariano,M,1995-09-13 00:00:00,Maryanna Ferraz,F,1997-06-17 00:00:00,2018-01-17 00:00:00
2017-01-07,2017-01-11,00:01:41,77,12,9,Encerrado,9,12,77,4,Tempo de resposta,Bruna Serva,F,1993-02-25 00:00:00,Carlos Mota,M,1994-05-06 00:00:00,2018-11-03 00:00:00
2017-01-07,2017-01-17,00:03:52,365,163,6,Encerrado,6,163,365,10,Recursos não disponíveis,Suporte sem cadastro (ID 163),,,Pedro Domingos,M,1993-09-29 00:00:00,2017-07-10 00:00:00
2017-01-07,2017-01-09,00:06:44,349,34,14,Encerrado,14,34,349,2,Alterar senha,Matheus Rubio,M,1990-12-26 00:00:00,Patricia Vieira Branco de Matos,F,1987-10-04 00:00:00,2018-08-30 00:00:00
2017-01-07,2017-01-08,00:07:01,203,156,10,Cancelado,10,156,203,1,Alterar perfil de usuário,Suporte sem cadastro (ID 156),,,João Negrelli,M,1986-06-22 00:00:00,2019-02-02 00:00:00
2017-01-07,2017-01-12,00:05:29,136,88,6,Encerrado,6,88,136,5,Recursos não disponíveis,Suporte sem cadastro (ID 88),,,Fernanda Rossini,F,1989-10-01 00:00:00,2018-01-18 00:00:00
2017-01-07,2017-01-07,00:02:03,32,171,9,Encerrado,9,171,32,0,Tempo de resposta,Suporte sem cadastro (ID 171),,,Arthur Vaz,M,1995-12-01 00:00:00,2019-08-23 00:00:00
2017-01-07,2017-01-07,00:04:31,90,70,6,Encerrado,6,70,90,0,Recursos não disponíveis,Suporte sem cadastro (ID 70),,,Carolina Racy,F,1984-02-28 00:00:00,2017-07-07 00:00:00
2017-01-07,2017-01-08,00:07:34,375,4,20,Encerrado,20,4,375,1,Áudio,Ana Barbosa,F,1984-06-02 00:00:00,Priscila de Oliveira,F,1991-02-16 00:00:00,2019-07-29 00:00:00
2017-01-08,2017-01-08,00:01:32,187,263,11,Encerrado,11,263,187,0,Dúvidas/Outros,Suporte sem cadastro (ID 263),,,Isabelle de Sá Foly,F,1983-06-17 00:00:00,2018-11-22 00:00:00
2017-01-08,2017-01-15,00:01:47,191,100,15,Encerrado,15,100,191,7,Página indisponível,Suporte sem cadastro (ID 100),,,Jayme Carvalho,M,1995-10-01 00:00:00,2018-10-23 00:00:00
2017-01-08,2017-01-11,00:04:26,109,4,15,Encerrado,15,4,109,3,Página indisponível,Ana Barbosa,F,1984-06-02 00:00:00,Desirée Castro Guimarães,F,1996-10-20 00:00:00,2018-10-29 00:00:00
2017-01-08,2017-01-08,00:02:06,193,19,18,Encerrado,18,19,193,0,Falha no Word,Gabriel Viana,M,1982-07-01 00:00:00,Joana Guimarães,F,1995-07-28 00:00:00,2019-09-17 00:00:00
2017-01-08,2017-01-08,00:01:30,104,186,6,Encerrado,6,186,104,0,Recursos não disponíveis,Suporte sem cadastro (ID 186),,,Daniela Santos Silva,F,1990-05-26 00:00:00,2019-02-26 00:00:00
2017-01-08,2017-01-08,00:15:09,323,3,8,Encerrado,8,3,323,0,Renovação de contrato,Amanda Pessanha,F,1992-10-11 00:00:00,Matheus Rodrigues Luiz,M,2000-12-21 00:00:00,2019-10-22 00:00:00
2017-01-08,2017-01-12,00:03:46,10,55,11,Encerrado,11,55,10,4,Dúvidas/Outros,Suporte sem cadastro (ID 55),,,Amanda de Lacerda,F,1990-08-30 00:00:00,2018-07-01 00:00:00
2017-01-08,2017-01-12,00:02:13,271,24,12,Encerrado,12,24,271,4,Emitir certificado,Jeferson Pinheiro Mariano,M,1995-09-13 00:00:00,Luiz de Mattos,M,1995-07-12 00:00:00,2019-09-21 00:00:00
2017-01-08,2017-01-08,00:03:01,82,338,6,Encerrado,6,338,82,0,Recursos não disponíveis,Suporte sem cadastro (ID 338),,,Carolina da Silva,F,1989-12-11 00:00:00,2018-12-22 00:00:00
2017-01-09,2017-01-16,00:07:54,217,53,16,Encerrado,16,53,217,7,Reembolso,Suporte sem cadastro (ID 53),,,Julia Andrade Gomes,F,1998-08-07 00:00:00,2017-08-18 00:00:00
2017-01-09,2017-01-17,00:06:26,84,112,8,Encerrado,8,112,84,8,Renovação de contrato,Suporte sem cadastro (ID 112),,,Carolina Fontes,F,1999-06-13 00:00:00,2019-10-10 00:00:00
2017-01-09,2017-01-17,00:06:33,244,221,4,Cancelado,4,221,244,8,Prazo expirado antes do tempo,Suporte sem cadastro (ID 221),,,Livia Mello,F,1980-02-24 00:00:00,2018-05-17 00:00:00
2017-01-09,2017-01-13,00:09:21,254,138,8,Encerrado,8,138,254,4,Renovação de contrato,Suporte sem cadastro (ID 138),,,Lucas Bach,M,1998-11-26 00:00:00,2017-11-28 00:00:00
2017-01-09,2017-01-12,00:02:36,274,94,11,Cancelado,11,94,274,3,Dúvidas/Outros,Suporte sem cadastro (ID 94),,,Luiz Ladogano,M,1983-04-13 00:00:00,2019-01-18 00:00:00
2017-01-09,2017-01-09,00:01:51,412,182,6,Cancelado,6,182,412,0,Recursos não disponíveis,Suporte sem cadastro (ID 182),,,Rômulo Pereira da Silva,M,1984-07-10 00:00:00,2018-11-22 00:00:00
2017-01-09,2017-01-09,00:03:07,75,111,6,Cancelado,6,111,75,0,Recursos não disponíveis,Suporte sem cadastro (ID 111),,,Carla Amiccuci Areias,F,1990-01-28 00:00:00,2017-12-23 00:00:00
2017-01-09,2017-01-09,00:06:06,390,111,1,Cancelado,1,111,390,0,Conexão lenta,Suporte sem cadastro (ID 111),,,Ramon De Moraes Bergara,M,1986-06-21 00:00:00,2017-11-09 00:00:00
2017-01-10,2017-01-12,00:09:00,340,290,11,Cancelado,11,290,340,2,Dúvidas/Outros,Suporte sem cadastro (ID 290),,,Nathalia Melo Eiras,F,1992-02-03 00:00:00,2017-01-30 00:00:00
2017-01-10,2017-01-16,00:07:34,104,112,15,Encerrado,15,112,104,6,Página indisponível,Suporte sem cadastro (ID 112),,,Daniela Santos Silva,F,1990-05-26 00:00:00,2019-02-26 00:00:00
2017-01-10,2017-01-10,00:07:26,254,253,11,Encerrado,11,253,254,0,Dúvidas/Outros,Suporte sem cadastro (ID 253),,,Lucas Bach,M,1998-11-26 00:00:00,2017-11-28 00:00:00
2017-01-10,2017-01-14,00:03:33,142,24,16,Cancelado,16,24,142,4,Reembolso,Jeferson Pinheiro Mariano,M,1995-09-13 00:00:00,Flávio Jacques Gamboa Fernandez de Oliveira Netto,M,1995-04-25 00:00:00,2017-04-17 00:00:00
2017-01-10,2017-01-11,00:02:07,391,450,11,Encerrado,11,450,391,1,Dúvidas/Outros,Suporte sem cadastro (ID 450),,,Ramon Garcia Bittencourt,M,1995-11-12 00:00:00,2019-02-22 00:00:00
2017-01-10,2017-01-17,00:01:34,21,163,11,Encerrado,11,163,21,7,Dúvidas/Outros,Suporte sem cadastro (ID 163),,,Ana Sabino de Azevedo Duarte silva,F,1994-09-06 00:00:00,2018-12-31 00:00:00
2017-01-10,2017-01-10,00:01:05,232,187,15,Encerrado,15,187,232,0,Página indisponível,Suporte sem cadastro (ID 187),,,Lais Cormack,F,1996-01-12 00:00:00,2018-05-31 00:00:00
2017-01-11,2017-01-13,00:07:46,394,42,15,Encerrado,15,42,394,2,Página indisponível,Victoria Nascimento Viríssimo,F,1985-01-05 00:00:00,Raquel Tavares,M,1993-10-18 00:00:00,2018-07-10 00:00:00
2017-01-11,2017-01-11,00:04:49,225,207,11,Encerrado,11,207,225,0,Dúvidas/Outros,Suporte sem cadastro (ID 207),,,Julia Valim,F,1992-04-03 00:00:00,2019-08-21 00:00:00
2017-01-11,2017-01-11,00:07:08,369,36,7,Cancelado,7,36,369,0,Excluir usuário,Pedro Assis,M,1983-05-28 00:00:00,Pedro Jardim,M,1995-11-21 00:00:00,2018-11-28 00:00:00
2017-01-11,2017-01-13,00:08:40,125,29,4,Aguardando resposta do usuário,4,29,125,2,Prazo expirado antes do tempo,João Monteiro,M,1995-07-20 00:00:00,Elvis Macedo,M,1992-06-12 00:00:00,2018-05-12 00:00:00
2017-01-11,2017-01-13,00:02:58,146,101,15,Encerrado,15,101,146,2,Página indisponível,Suporte sem cadastro (ID 101),,,Frederico Vidal,M,1983-10-30 00:00:00,2019-12-05 00:00:00
2017-01-11,2017-01-11,00:02:12,109,50,10,Encerrado,10,50,109,0,Alterar perfil de usuário,Suporte sem cadastro (ID 50),,,Desirée Castro Guimarães,F,1996-10-20 00:00:00,2018-10-29 00:00:00
2017-01-11,2017-01-17,00:06:46,90,229,2,Encerrado,2,229,90,6,Problema com login,Suporte sem cadastro (ID 229),,,Carolina Racy,F,1984-02-28 00:00:00,2017-07-07 00:00:00
2017-01-11,2017-01-15,00:01:55,134,142,12,Cancelado,12,142,134,4,Emitir certificado,Suporte sem cadastro (ID 142),,,Fernanda Gonçalves,F,1987-06-07 00:00:00,2019-02-19 00:00:00
2017-01-11,2017-01-14,00:01:42,131,113,12,Encerrado,12,113,131,3,Emitir certificado,Suporte sem cadastro (ID 113),,,Felipe Sousa Melo,M,1996-04-30 00:00:00,2017-07-19 00:00:00
2017-01-11,2017-01-14,00:05:14,141,24,12,Encerrado,12,24,141,3,Emitir certificado,Jeferson Pinheiro Mariano,M,1995-09-13 00:00:00,Flávio Fontes,M,1981-10-30 00:00:00,2018-09-12 00:00:00
2017-01-11,2017-01-12,00:07:20,359,248,12,Encerrado,12,248,359,1,Emitir certificado,Suporte sem cadastro (ID 248),,,Pedro Alcoforado,M,1996-04-19 00:00:00,2019-09-10 00:00:00
2017-01-11,2017-01-14,00:08:56,389,29,20,Encerrado,20,29,389,3,Áudio,João Monteiro,M,1995-07-20 00:00:00,Raíza Barcellos,F,1998-01-31 00:00:00,2019-10-14 00:00:00
2017-01-12,2017-01-13,00:02:29,411,61,11,Encerrado,11,61,411,1,Dúvidas/Outros,Suporte sem cadastro (ID 61),,,Rômulo Pedrazza,M,1981-11-11 00:00:00,2019-06-28 00:00:00
2017-01-12,2017-01-15,00:04:50,283,49,11,Encerrado,11,49,283,3,Dúvidas/Outros,Suporte sem cadastro (ID 49),,,Luize da Costa,F,1983-10-10 00:00:00,2017-04-22 00:00:00
2017-01-12,2017-01-12,00:06:07,376,101,21,Encerrado,21,101,376,0,Imagem,Suporte sem cadastro (ID 101),,,Priscila Orçai Granado,F,1984-11-29 00:00:00,2018-09-12 00:00:00
2017-01-12,2017-01-13,00:03:45,207,188,15,Encerrado,15,188,207,1,Página indisponível,Suporte sem cadastro (ID 188),,,João Rodrigues,M,1983-12-12 00:00:00,2017-12-31 00:00:00
2017-01-12,2017-01-13,00:01:44,71,114,17,Encerrado,17,114,71,1,Falha no Excel,Suporte sem cadastro (ID 114),,,Caio Stellet,M,1985-08-29 00:00:00,2018-04-20 00:00:00
2017-01-12,2017-01-15,00:01:18,330,9,4,Encerrado,4,9,330,3,Prazo expirado antes do tempo,Audir Muniz,M,1982-08-27 00:00:00,Milena Fernandes,F,1996-02-22 00:00:00,2017-04-18 00:00:00
2017-01-12,2017-01-19,00:03:36,212,188,9,Encerrado,9,188,212,7,Tempo de resposta,Suporte sem cadastro (ID 188),,,José Guimarães,M,1998-08-19 00:00:00,2017-05-01 00:00:00
2017-01-13,2017-01-20,00:06:33,132,80,5,Aguardando resposta do usuário,5,80,132,7,Problema com pagamento,Suporte sem cadastro (ID 80),,,Fernanda Castro Morett Ceppas,F,1996-10-28 00:00:00,2018-05-23 00:00:00
2017-01-13,2017-01-16,00:07:56,263,238,1,Cancelado,1,238,263,3,Conexão lenta,Suporte sem cadastro (ID 238),,,Lucas Short Santa Cecilia,M,1980-03-20 00:00:00,2017-04-10 00:00:00
2017-01-13,2017-01-20,00:07:10,195,36,6,Encerrado,6,36,195,7,Recursos não disponíveis,Pedro Assis,M,1983-05-28 00:00:00,João Cavalcanti Alves,M,1997-10-06 00:00:00,2019-10-12 00:00:00
2017-01-13,2017-01-14,00:04:59,162,61,12,Encerrado,12,61,162,1,Emitir certificado,Suporte sem cadastro (ID 61),,,Giovana Marinho,F,1997-02-27 00:00:00,2018-08-10 00:00:00
2017-01-13,2017-01-14,00:02:42,132,204,21,Encerrado,21,204,132,1,Imagem,Suporte sem cadastro (ID 204),,,Fernanda Castro Morett Ceppas,F,1996-10-28 00:00:00,2018-05-23 00:00:00
2017-01-13,2017-01-16,00:05:27,421,153,9,Encerrado,9,153,421,3,Tempo de resposta,Suporte sem cadastro (ID 153),,,Thalles Jordão Teixeira,M,1994-08-22 00:00:00,2018-01-03 00:00:00
2017-01-13,2017-01-19,00:02:01,267,20,12,Encerrado,12,20,267,6,Emitir certificado,Giuseppe Fernandes,M,1997-07-16 00:00:00,Luis Morgado,M,1991-10-13 00:00:00,2019-02-19 00:00:00
2017-01-13,2017-01-15,00:05:46,408,1,14,Encerrado,14,1,408,2,Alterar senha,Adelino Araujo,M,2000-04-15 00:00:00,Rodrigo Funcke,M,1988-03-02 00:00:00,2019-01-06 00:00:00
2017-01-13,2017-01-19,00:03:36,409,24,8,Encerrado,8,24,409,6,Renovação de contrato,Jeferson Pinheiro Mariano,M,1995-09-13 00:00:00,Rodrigo Venceslau Santos de Gusmão,M,2000-10-30 00:00:00,2019-12-09 00:00:00
2017-01-13,2017-01-22,00:02:39,298,180,11,Aguardando resposta do usuário,11,180,298,9,Dúvidas/Outros,Suporte sem cadastro (ID 180),,,Mariana Bach,F,1994-10-15 00:00:00,2019-01-10 00:00:00
2017-01-14,2017-01-17,00:04:02,116,64,20,Cancelado,20,64,116,3,Áudio,Suporte sem cadastro (ID 64),,,Eduarda Mello,F,1998-03-16 00:00:00,2017-04-12 00:00:00
